	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
SRR521205	0.0725	0.28375	0.305	0.27	0.1275	0.2125	0.24375	0.21	0.10625	0.29375	0.18	0.16875	0.15625	0.265	0.32625	0.1625	0.1675	0.2575	0.14625	0.2125	0.0875	0.10625	0.09375	0.45625	0.21	0.16625	0.1625	0.11875	0.44625	0.20625	0.1375	0.48625	0.175	0.48625	0.495	0.14875	0.1875	0.4675	0.36625	0.0625	0.16	0.2275	0.47875	0.43875	0.47	0.2	0.52125	0.435	0.45375	0.435	0.43125	0.40125	0.4725	0.36875	0.47875	0.22875	0.1775	0.32375	0.0	0.0725	0.3175	0.18375	0.3875	0.38625	0.3425	0.46375	0.505	0.30375	0.44875	0.25	0.255	0.27625	0.5225	0.45875	0.20125	0.48375	0.50125	0.4375	0.4775	0.4975	0.43125	0.5	0.49625	0.51375	0.5075	0.48125	0.48875	0.49	0.38875	0.49	0.50375	0.48125	0.34125
SRR521226	0.11125	0.2575	0.285	0.2375	0.1125	0.23375	0.2275	0.1925	0.07875	0.285	0.17625	0.15625	0.165	0.28375	0.31875	0.155	0.15875	0.2275	0.17	0.185	0.10625	0.10625	0.0925	0.45125	0.19625	0.15125	0.13625	0.1125	0.43875	0.19375	0.075	0.4775	0.1925	0.47125	0.485	0.1025	0.1475	0.4625	0.33375	0.065	0.12	0.20125	0.46875	0.435	0.46375	0.20875	0.5	0.42625	0.4475	0.4275	0.40625	0.395	0.46375	0.36375	0.46625	0.24875	0.16125	0.33375	0.0725	0.0	0.285	0.1475	0.3825	0.38	0.31125	0.4475	0.49875	0.2725	0.44	0.2225	0.22	0.26625	0.4975	0.45	0.18375	0.47375	0.49	0.42875	0.47375	0.4925	0.425	0.4875	0.47875	0.49	0.4925	0.46625	0.47375	0.47125	0.38125	0.48	0.4875	0.4725	0.33625
SRR521250	0.35125	0.07	0.075	0.08875	0.22	0.47	0.1275	0.18375	0.26125	0.08375	0.1925	0.1925	0.36125	0.16	0.19625	0.2075	0.1925	0.09875	0.20125	0.13	0.3125	0.3475	0.28	0.2375	0.1325	0.22625	0.18	0.3375	0.2275	0.1425	0.2375	0.2525	0.3	0.25125	0.2575	0.2675	0.195	0.24	0.10375	0.32	0.2125	0.1575	0.24625	0.2125	0.2425	0.3225	0.29125	0.225	0.23	0.205	0.1875	0.30375	0.2425	0.16375	0.23875	0.195	0.15	0.165	0.3175	0.285	0.0	0.1825	0.315	0.175	0.07125	0.23125	0.28375	0.08	0.22875	0.11375	0.11375	0.22875	0.27875	0.2425	0.15875	0.25375	0.2725	0.21375	0.2525	0.2775	0.2	0.26375	0.26125	0.27	0.27125	0.2425	0.26	0.25875	0.18625	0.26125	0.26875	0.25125	0.14625
SRR521199	0.20625	0.165	0.175	0.1575	0.1	0.3325	0.1175	0.10625	0.15875	0.2075	0.10125	0.07875	0.22	0.20125	0.205	0.10125	0.09875	0.155	0.11375	0.145	0.15375	0.1825	0.14125	0.33125	0.1175	0.10375	0.115	0.185	0.32625	0.12625	0.11	0.355	0.1875	0.36625	0.36625	0.1225	0.0625	0.35125	0.23375	0.1725	0.0625	0.105	0.3575	0.31625	0.3275	0.23625	0.395	0.31625	0.3175	0.30125	0.29375	0.29375	0.35375	0.26625	0.34875	0.1725	0.08125	0.255	0.18375	0.1475	0.1825	0.0	0.31625	0.2825	0.20875	0.32	0.385	0.19375	0.32875	0.135	0.1425	0.20125	0.3925	0.33625	0.12	0.35625	0.38125	0.3025	0.36375	0.375	0.315	0.37375	0.3725	0.385	0.38625	0.33375	0.35375	0.3625	0.26	0.3575	0.38125	0.3475	0.24625
SRR521233	0.435	0.33125	0.34	0.32375	0.3275	0.56375	0.33625	0.34	0.3725	0.35625	0.31	0.33375	0.43125	0.3825	0.26875	0.34875	0.33	0.34375	0.32125	0.3225	0.39375	0.4125	0.3575	0.22875	0.31875	0.3075	0.31875	0.42	0.335	0.32125	0.33625	0.36625	0.37	0.42	0.40875	0.355	0.31625	0.37	0.35875	0.39625	0.345	0.355	0.37625	0.35625	0.30125	0.23375	0.44875	0.3475	0.3725	0.31125	0.36625	0.10625	0.39	0.24375	0.38875	0.355	0.30625	0.3625	0.3875	0.3825	0.315	0.31625	0.0	0.32375	0.34125	0.37125	0.405	0.33875	0.25	0.33875	0.3225	0.2525	0.43875	0.34	0.31375	0.40625	0.41625	0.28625	0.36375	0.38375	0.335	0.41625	0.415	0.4425	0.4275	0.3925	0.37875	0.42	0.21125	0.4	0.42875	0.405	0.2775
SRR521245	0.44125	0.17375	0.18375	0.19875	0.29625	0.54875	0.21875	0.2825	0.37125	0.19875	0.26	0.27	0.41625	0.2175	0.22375	0.275	0.26625	0.185	0.275	0.21	0.39125	0.40375	0.34625	0.17875	0.20125	0.305	0.275	0.4325	0.1075	0.2175	0.33375	0.1325	0.36875	0.135	0.14875	0.36125	0.275	0.11625	0.13	0.395	0.2875	0.26625	0.1075	0.10625	0.14	0.37625	0.1775	0.10375	0.1275	0.095	0.1075	0.31	0.12	0.12125	0.125	0.26875	0.24625	0.12	0.38625	0.38	0.175	0.2825	0.32375	0.0	0.12625	0.14125	0.16125	0.1325	0.1275	0.21875	0.18375	0.2425	0.1625	0.12875	0.265	0.135	0.16	0.11625	0.13125	0.16	0.0775	0.1575	0.1375	0.16125	0.16	0.1375	0.1625	0.16375	0.17625	0.16625	0.16	0.14	0.08875
SRR521179	0.385	0.08125	0.0925	0.1025	0.23625	0.51125	0.14125	0.205	0.28625	0.0925	0.225	0.20125	0.37875	0.16125	0.19375	0.2175	0.21125	0.11125	0.2225	0.1475	0.35	0.375	0.31125	0.19375	0.14625	0.23375	0.21	0.37625	0.1725	0.15875	0.25125	0.2025	0.32	0.19875	0.20875	0.30125	0.225	0.1825	0.07	0.3475	0.22875	0.17125	0.18875	0.15875	0.19125	0.34875	0.23	0.16875	0.18	0.16	0.13375	0.31375	0.19	0.15125	0.19875	0.21625	0.19	0.1125	0.3425	0.31125	0.07125	0.20875	0.34125	0.12625	0.0	0.185	0.2275	0.08125	0.16875	0.13125	0.135	0.24375	0.22125	0.1775	0.185	0.19875	0.21125	0.16	0.19875	0.22125	0.14625	0.215	0.205	0.21625	0.2175	0.19375	0.20875	0.20375	0.2125	0.20625	0.2125	0.19625	0.09875
SRR521237	0.4975	0.24	0.2275	0.24875	0.37875	0.63375	0.27125	0.34625	0.44625	0.24125	0.335	0.3275	0.5025	0.25875	0.275	0.34625	0.3525	0.2625	0.3575	0.28	0.4525	0.47625	0.42125	0.2025	0.285	0.36875	0.35125	0.4925	0.06875	0.285	0.39125	0.10875	0.44125	0.08625	0.0725	0.42375	0.34125	0.06125	0.19375	0.46625	0.35625	0.3	0.115	0.06125	0.12375	0.4475	0.1075	0.08	0.05125	0.09375	0.07875	0.34625	0.075	0.1775	0.0625	0.3325	0.315	0.18875	0.46375	0.4475	0.23125	0.32	0.37125	0.14125	0.185	0.0	0.0925	0.23125	0.17125	0.27375	0.27375	0.34	0.10625	0.10375	0.35375	0.06875	0.085	0.13125	0.07125	0.08625	0.1025	0.08375	0.08125	0.10875	0.095	0.055	0.0525	0.08375	0.24875	0.075	0.095	0.07375	0.17625
SRR521204	0.55375	0.27375	0.28	0.3025	0.4225	0.695	0.31375	0.39	0.4925	0.2675	0.395	0.37125	0.53625	0.28875	0.28875	0.38125	0.39125	0.3025	0.39625	0.33625	0.5175	0.535	0.48125	0.2075	0.325	0.39375	0.39375	0.54875	0.10125	0.335	0.45	0.14125	0.47375	0.06	0.05125	0.4775	0.38375	0.0575	0.2375	0.515	0.395	0.345	0.13375	0.10125	0.14625	0.48	0.05875	0.09	0.095	0.1325	0.11375	0.37625	0.09875	0.225	0.09125	0.36625	0.3625	0.21125	0.505	0.49875	0.28375	0.385	0.405	0.16125	0.2275	0.0925	0.0	0.26875	0.18375	0.32375	0.33	0.345	0.095	0.10625	0.39125	0.07125	0.04	0.1725	0.06625	0.035	0.11375	0.03625	0.05625	0.04875	0.04125	0.08375	0.06875	0.0475	0.28625	0.05625	0.04625	0.0725	0.21125
SRR521184	0.345	0.08375	0.08375	0.09375	0.195	0.4475	0.1175	0.1725	0.27625	0.09625	0.1675	0.17625	0.33625	0.135	0.18875	0.18625	0.16625	0.08125	0.185	0.11375	0.29875	0.32125	0.26875	0.22625	0.12125	0.2125	0.17125	0.33375	0.2175	0.1275	0.22875	0.225	0.28875	0.22375	0.23625	0.26875	0.195	0.22375	0.0775	0.30625	0.185	0.15625	0.20875	0.205	0.24125	0.33125	0.27	0.20375	0.23	0.20375	0.17875	0.3175	0.21625	0.15375	0.2125	0.18625	0.1525	0.13125	0.30375	0.2725	0.08	0.19375	0.33875	0.1325	0.08125	0.23125	0.26875	0.0	0.2075	0.105	0.08625	0.2225	0.24	0.21875	0.16	0.23125	0.25625	0.20625	0.23875	0.265	0.18	0.24875	0.22875	0.2425	0.24875	0.22625	0.2575	0.25	0.18125	0.25625	0.2525	0.24	0.13
SRR521255	0.5	0.21375	0.22625	0.25625	0.36125	0.63375	0.26375	0.3425	0.42875	0.225	0.33875	0.3175	0.47125	0.23625	0.14875	0.32625	0.3325	0.2475	0.3375	0.275	0.46375	0.47875	0.42375	0.065	0.26125	0.335	0.33625	0.495	0.13	0.2675	0.39	0.19375	0.40875	0.19625	0.2025	0.425	0.33125	0.15125	0.18875	0.44875	0.34125	0.2975	0.1725	0.155	0.1325	0.3425	0.21125	0.13	0.1725	0.12875	0.16375	0.22375	0.18	0.1675	0.1875	0.30125	0.30625	0.14625	0.44875	0.44	0.22875	0.32875	0.25	0.1275	0.16875	0.17125	0.18375	0.2075	0.0	0.27	0.26875	0.21625	0.2275	0.12125	0.34	0.19625	0.2025	0.1325	0.1575	0.165	0.13125	0.2075	0.1975	0.22125	0.2075	0.19875	0.19125	0.1925	0.18375	0.20125	0.21	0.195	0.14375
SRR521178	0.28875	0.1	0.1	0.07375	0.1525	0.39875	0.0575	0.10125	0.22375	0.12125	0.115	0.1125	0.29625	0.11875	0.1625	0.1175	0.11375	0.05375	0.13	0.08875	0.2425	0.27375	0.20875	0.2825	0.0675	0.1475	0.1375	0.2775	0.27375	0.09375	0.1825	0.29125	0.2325	0.2825	0.2975	0.21	0.1625	0.2775	0.1275	0.24	0.13875	0.0825	0.28	0.2525	0.28375	0.295	0.32875	0.265	0.26875	0.25125	0.23	0.30875	0.2725	0.22625	0.275	0.13	0.10875	0.18	0.25	0.2225	0.11375	0.135	0.33875	0.21875	0.13125	0.27375	0.32375	0.105	0.27	0.0	0.0675	0.2	0.31	0.27375	0.11625	0.2825	0.305	0.255	0.2875	0.31875	0.23875	0.30375	0.28875	0.30375	0.3075	0.2775	0.3	0.30125	0.2	0.305	0.305	0.28125	0.19375
SRR521186	0.29	0.0925	0.135	0.0675	0.1525	0.38375	0.0925	0.1375	0.2175	0.13625	0.1175	0.13	0.2975	0.15375	0.1725	0.1525	0.12875	0.07875	0.14	0.0575	0.24625	0.27	0.21375	0.285	0.06375	0.16375	0.1275	0.28125	0.27375	0.0725	0.165	0.27625	0.25375	0.28375	0.29625	0.21625	0.1575	0.28	0.13625	0.25125	0.15375	0.1175	0.26625	0.26125	0.28125	0.27625	0.3325	0.26625	0.27125	0.2475	0.23875	0.3125	0.25875	0.2025	0.27875	0.1525	0.1075	0.19875	0.255	0.22	0.11375	0.1425	0.3225	0.18375	0.135	0.27375	0.33	0.08625	0.26875	0.0675	0.0	0.17	0.29375	0.2825	0.11	0.27	0.31125	0.245	0.29375	0.32375	0.24125	0.30625	0.29	0.3	0.30875	0.26875	0.305	0.3	0.1725	0.30625	0.30625	0.28	0.17375
SRR521252	0.32625	0.19375	0.24625	0.19625	0.195	0.45	0.17875	0.20875	0.255	0.23875	0.18625	0.1875	0.30625	0.21375	0.10125	0.16125	0.17125	0.1875	0.1825	0.15125	0.29375	0.31125	0.255	0.245	0.14375	0.2075	0.1575	0.315	0.295	0.15375	0.22625	0.36125	0.25625	0.3625	0.3675	0.27375	0.18125	0.31875	0.2825	0.27375	0.19625	0.19875	0.3325	0.325	0.2975	0.165	0.36375	0.27625	0.34	0.29625	0.31125	0.2575	0.34625	0.22	0.35375	0.18125	0.1575	0.2525	0.27625	0.26625	0.22875	0.20125	0.2525	0.2425	0.24375	0.34	0.345	0.2225	0.21625	0.2	0.17	0.0	0.3875	0.25125	0.2075	0.3625	0.37125	0.29125	0.325	0.3275	0.2825	0.3725	0.3625	0.3825	0.37125	0.3625	0.36125	0.3575	0.2025	0.37125	0.3725	0.36	0.21625
SRR521217	0.57	0.28125	0.27125	0.30375	0.41875	0.66	0.32125	0.38375	0.50125	0.2825	0.3925	0.38	0.55	0.30875	0.3275	0.38625	0.3875	0.29375	0.4025	0.33	0.52125	0.53875	0.4825	0.2525	0.3325	0.42	0.39875	0.55625	0.13125	0.34375	0.44875	0.1175	0.48875	0.06625	0.06	0.48125	0.395	0.09	0.2	0.53125	0.4	0.34625	0.11	0.11375	0.1825	0.51875	0.1075	0.12625	0.11875	0.15375	0.12125	0.4175	0.06625	0.2475	0.07125	0.38125	0.37375	0.2325	0.5225	0.4975	0.27875	0.3925	0.43875	0.1625	0.22125	0.10625	0.095	0.24	0.2275	0.31	0.29375	0.3875	0.0	0.145	0.375	0.06	0.08	0.19375	0.09375	0.0925	0.13	0.07625	0.06625	0.0625	0.07875	0.06875	0.09	0.09875	0.27125	0.0875	0.08125	0.075	0.24
SRR521246	0.50375	0.23	0.2325	0.2575	0.365	0.6425	0.26875	0.34125	0.4425	0.22375	0.34625	0.32125	0.4725	0.22625	0.18625	0.325	0.3375	0.25125	0.34	0.28625	0.47	0.48875	0.43	0.17	0.27375	0.33625	0.3425	0.50125	0.08875	0.28375	0.4	0.15125	0.40875	0.125	0.12625	0.44	0.34375	0.08375	0.185	0.46	0.3425	0.2925	0.1325	0.09625	0.12375	0.4	0.12875	0.055	0.10375	0.12625	0.0925	0.3175	0.10875	0.19375	0.11875	0.3025	0.32125	0.15	0.45875	0.45	0.2425	0.33625	0.34	0.12875	0.1775	0.10375	0.10625	0.21875	0.12125	0.27375	0.2825	0.25125	0.145	0.0	0.34875	0.125	0.13125	0.1525	0.09	0.08875	0.1025	0.13625	0.12375	0.1425	0.135	0.1225	0.12125	0.12	0.2225	0.1325	0.1375	0.1225	0.165
SRR521193	0.24875	0.1425	0.1725	0.12125	0.1175	0.355	0.1275	0.0925	0.1425	0.155	0.08125	0.10375	0.25	0.18875	0.2175	0.13125	0.0975	0.1425	0.0975	0.13625	0.20125	0.2325	0.175	0.3475	0.11	0.11	0.1075	0.23875	0.3375	0.1125	0.13625	0.3425	0.19375	0.36	0.3675	0.1825	0.1375	0.3475	0.20875	0.21375	0.115	0.1325	0.33875	0.3225	0.35375	0.24625	0.40875	0.32875	0.345	0.3175	0.30125	0.29625	0.33625	0.275	0.3475	0.16375	0.105	0.23875	0.20125	0.18375	0.15875	0.12	0.31375	0.265	0.185	0.35375	0.39125	0.16	0.34	0.11625	0.11	0.2075	0.375	0.34875	0.0	0.3525	0.38625	0.325	0.35875	0.38625	0.31125	0.37625	0.3675	0.3775	0.385	0.34625	0.375	0.38	0.25625	0.37625	0.385	0.36	0.25375
SRR521202	0.5325	0.2575	0.25125	0.275	0.38625	0.6325	0.30125	0.3625	0.46625	0.26375	0.35125	0.3475	0.53125	0.28625	0.305	0.3675	0.36875	0.275	0.3725	0.2975	0.48	0.4875	0.4375	0.2225	0.30375	0.385	0.38	0.5275	0.10875	0.30875	0.4125	0.10875	0.46875	0.045	0.04375	0.4525	0.3725	0.05625	0.18875	0.4875	0.385	0.31875	0.1	0.07875	0.135	0.485	0.0875	0.105	0.07	0.12125	0.09875	0.37875	0.05	0.2225	0.06	0.36125	0.34125	0.21	0.48375	0.47375	0.25375	0.35625	0.40625	0.135	0.19875	0.06875	0.07125	0.23125	0.19625	0.2825	0.27	0.3625	0.06	0.125	0.3525	0.0	0.05	0.155	0.05875	0.06375	0.1	0.05375	0.0475	0.055	0.05875	0.0325	0.0575	0.06625	0.2475	0.05375	0.0575	0.0225	0.2
SRR521224	0.55875	0.27125	0.2675	0.29	0.4075	0.675	0.31	0.37375	0.485	0.27625	0.385	0.3675	0.5375	0.295	0.31	0.37875	0.37875	0.2875	0.38875	0.32	0.50625	0.5275	0.475	0.22375	0.3225	0.4075	0.39	0.545	0.1125	0.3275	0.43625	0.12375	0.47625	0.04	0.0425	0.46875	0.3825	0.065	0.21875	0.515	0.3925	0.335	0.12125	0.08875	0.155	0.4975	0.0475	0.11125	0.09375	0.1375	0.10625	0.39125	0.08125	0.22875	0.0775	0.36875	0.35875	0.22	0.50125	0.49	0.2725	0.38125	0.41625	0.16	0.21125	0.085	0.04	0.25625	0.2025	0.305	0.31125	0.37125	0.08	0.13125	0.38625	0.05	0.0	0.1725	0.07	0.06375	0.11125	0.02125	0.035	0.03	0.01875	0.07	0.06	0.0325	0.2875	0.04625	0.02	0.055	0.21125
SRR521257	0.4825	0.20875	0.21625	0.24125	0.3475	0.60375	0.26375	0.33875	0.4175	0.2225	0.31625	0.31	0.48	0.2425	0.23875	0.33125	0.32375	0.245	0.325	0.25375	0.4275	0.44125	0.39875	0.15375	0.25125	0.335	0.33375	0.47875	0.10125	0.25875	0.37	0.13125	0.4175	0.175	0.17375	0.40875	0.32875	0.13125	0.18	0.43625	0.34375	0.28875	0.1325	0.1225	0.09625	0.39625	0.20375	0.12125	0.13375	0.08875	0.14375	0.295	0.14875	0.1125	0.15625	0.31125	0.29375	0.15375	0.4375	0.42875	0.21375	0.3025	0.28625	0.11625	0.16	0.13125	0.1725	0.20625	0.1325	0.255	0.245	0.29125	0.19375	0.1525	0.325	0.155	0.1725	0.0	0.14	0.17375	0.10625	0.18125	0.17125	0.1975	0.1825	0.14625	0.15	0.175	0.15875	0.16375	0.18375	0.14375	0.12125
SRR521208	0.535	0.24875	0.24875	0.27375	0.39	0.65625	0.29375	0.35625	0.46875	0.25	0.36	0.34875	0.5225	0.275	0.26625	0.3625	0.36375	0.27125	0.37	0.30875	0.4825	0.4975	0.4475	0.17	0.30125	0.36625	0.3725	0.5275	0.08	0.31	0.42375	0.10625	0.45875	0.07625	0.07	0.45125	0.36375	0.03125	0.20375	0.49375	0.375	0.32125	0.10875	0.06125	0.09625	0.4425	0.105	0.07875	0.07	0.1025	0.09125	0.335	0.065	0.195	0.0675	0.3525	0.33875	0.19875	0.4775	0.47375	0.2525	0.36375	0.36375	0.13125	0.19875	0.07125	0.06625	0.23875	0.1575	0.2875	0.29375	0.325	0.09375	0.09	0.35875	0.05875	0.07	0.14	0.0	0.0525	0.07625	0.07125	0.0725	0.09	0.0775	0.0675	0.0675	0.0925	0.23125	0.0675	0.07875	0.0625	0.1775
SRR521223	0.54375	0.2675	0.27375	0.2925	0.41625	0.6875	0.30625	0.38375	0.485	0.2625	0.38875	0.365	0.53375	0.2875	0.27125	0.375	0.38625	0.2975	0.39	0.33	0.5125	0.52875	0.475	0.18	0.31875	0.3825	0.3875	0.54125	0.1	0.32625	0.4425	0.13625	0.47125	0.06625	0.05	0.46875	0.375	0.05625	0.23125	0.5075	0.38875	0.33875	0.13375	0.09125	0.1225	0.4525	0.0825	0.0875	0.0875	0.1275	0.105	0.3525	0.095	0.2225	0.08625	0.36375	0.3575	0.20875	0.4975	0.4925	0.2775	0.375	0.38375	0.16	0.22125	0.08625	0.035	0.265	0.165	0.31875	0.32375	0.3275	0.0925	0.08875	0.38625	0.06375	0.06375	0.17375	0.0525	0.0	0.11	0.0575	0.0725	0.07125	0.06875	0.07625	0.065	0.06875	0.2675	0.05125	0.07	0.06625	0.20625
SRR521256	0.4825	0.20375	0.2075	0.23125	0.335	0.60375	0.245	0.31875	0.41875	0.22125	0.31375	0.305	0.47375	0.25	0.24	0.31625	0.3125	0.2225	0.32125	0.25625	0.4375	0.4525	0.3975	0.1625	0.24875	0.33	0.32125	0.47875	0.05375	0.25625	0.375	0.1025	0.41125	0.10125	0.105	0.405	0.3175	0.06625	0.1625	0.44	0.3275	0.28875	0.08	0.06625	0.12	0.40625	0.14375	0.07125	0.09375	0.06875	0.08625	0.3175	0.0875	0.14875	0.09625	0.30875	0.2875	0.1575	0.43125	0.425	0.2	0.315	0.335	0.0775	0.14625	0.1025	0.11375	0.18	0.13125	0.23875	0.24125	0.2825	0.13	0.1025	0.31125	0.1	0.11125	0.10625	0.07625	0.11	0.0	0.11125	0.1025	0.125	0.11375	0.1	0.1125	0.11625	0.1925	0.11125	0.11625	0.09875	0.135
SRR521231	0.5525	0.26875	0.25875	0.28375	0.40875	0.67375	0.30375	0.37125	0.4925	0.27125	0.37125	0.37125	0.5375	0.29625	0.315	0.38125	0.3825	0.28625	0.3925	0.3225	0.4925	0.5175	0.46125	0.22125	0.32625	0.41125	0.3875	0.5375	0.115	0.33375	0.44	0.11625	0.47625	0.035	0.03125	0.46125	0.375	0.07	0.21375	0.51875	0.38875	0.3375	0.12	0.08875	0.15375	0.4975	0.0525	0.11125	0.09125	0.13375	0.09875	0.3875	0.08625	0.22875	0.0625	0.36875	0.3575	0.22125	0.5	0.4875	0.26375	0.37375	0.41625	0.1575	0.215	0.08375	0.03625	0.24875	0.2075	0.30375	0.30625	0.3725	0.07625	0.13625	0.37625	0.05375	0.02125	0.18125	0.07125	0.0575	0.11125	0.0	0.03	0.02875	0.01875	0.0575	0.0625	0.03625	0.29125	0.04375	0.0225	0.055	0.22
SRR521248	0.55	0.265	0.25625	0.28625	0.3975	0.65375	0.305	0.36625	0.485	0.26875	0.36375	0.3625	0.5275	0.28375	0.3	0.36625	0.3675	0.27375	0.38	0.31375	0.49	0.5075	0.4525	0.225	0.315	0.40375	0.3825	0.53375	0.10875	0.32875	0.4325	0.11125	0.465	0.02	0.03625	0.4625	0.375	0.0625	0.195	0.50875	0.38125	0.33	0.105	0.08875	0.15625	0.49625	0.06125	0.10625	0.0925	0.135	0.10125	0.39	0.07375	0.2275	0.055	0.3575	0.3525	0.21125	0.49625	0.47875	0.26125	0.3725	0.415	0.1375	0.205	0.08125	0.05625	0.22875	0.1975	0.28875	0.29	0.3625	0.06625	0.12375	0.3675	0.0475	0.035	0.17125	0.0725	0.0725	0.1025	0.03	0.0	0.0375	0.0375	0.05125	0.06625	0.05125	0.27125	0.06	0.03625	0.05625	0.20875
SRR521240	0.56375	0.275	0.265	0.29625	0.41375	0.67	0.3125	0.37625	0.49375	0.27625	0.38625	0.3725	0.5475	0.30625	0.32625	0.38125	0.3825	0.2875	0.3975	0.325	0.51375	0.5325	0.4775	0.245	0.3275	0.4125	0.39375	0.54875	0.13625	0.33625	0.44125	0.1325	0.48625	0.0325	0.0425	0.4725	0.38875	0.0825	0.20625	0.5225	0.395	0.33875	0.1275	0.11125	0.1775	0.5175	0.055	0.12375	0.1125	0.1575	0.11375	0.415	0.08875	0.25375	0.07875	0.37875	0.36625	0.23	0.51375	0.49	0.27	0.385	0.4425	0.16125	0.21625	0.10875	0.04875	0.2425	0.22125	0.30375	0.3	0.3825	0.0625	0.1425	0.3775	0.055	0.03	0.1975	0.09	0.07125	0.125	0.02875	0.0375	0.0	0.02125	0.07	0.085	0.04125	0.29875	0.06375	0.025	0.06375	0.23125
SRR521238	0.56375	0.275	0.2675	0.29625	0.41125	0.675	0.31375	0.37875	0.4925	0.2775	0.38375	0.37375	0.53875	0.29625	0.3175	0.38375	0.385	0.29	0.39625	0.325	0.50375	0.5275	0.47375	0.2325	0.32875	0.41375	0.395	0.55	0.1225	0.3325	0.4425	0.12875	0.47875	0.0375	0.04375	0.475	0.38625	0.07	0.21625	0.52125	0.39375	0.34125	0.125	0.10125	0.16375	0.5075	0.05	0.115	0.105	0.1425	0.1125	0.39875	0.08625	0.2375	0.07625	0.37	0.36375	0.2225	0.5075	0.4925	0.27125	0.38625	0.4275	0.16	0.2175	0.095	0.04125	0.24875	0.2075	0.3075	0.30875	0.37125	0.07875	0.135	0.385	0.05875	0.01875	0.1825	0.0775	0.06875	0.11375	0.01875	0.0375	0.02125	0.0	0.075	0.0725	0.035	0.29125	0.05375	0.0225	0.05875	0.22
SRR521260	0.52125	0.2525	0.24	0.26125	0.385	0.63	0.29125	0.355	0.47	0.25625	0.33625	0.3475	0.52625	0.285	0.30375	0.36625	0.36625	0.27125	0.37125	0.29375	0.4575	0.47375	0.42125	0.2175	0.3025	0.38625	0.37	0.51125	0.0975	0.31125	0.4125	0.095	0.465	0.0525	0.05	0.4375	0.36375	0.0575	0.18625	0.49	0.375	0.31625	0.10875	0.07	0.12125	0.47625	0.105	0.10125	0.05875	0.10375	0.08375	0.3675	0.065	0.215	0.04625	0.3575	0.335	0.21	0.48125	0.46625	0.2425	0.33375	0.3925	0.1375	0.19375	0.055	0.08375	0.22625	0.19875	0.2775	0.26875	0.3625	0.06875	0.1225	0.34625	0.0325	0.07	0.14625	0.0675	0.07625	0.1	0.0575	0.05125	0.07	0.075	0.0	0.05625	0.07875	0.2525	0.06125	0.0725	0.04	0.205
SRR521262	0.53125	0.2625	0.2575	0.2725	0.40375	0.66875	0.2975	0.37	0.47	0.26375	0.36625	0.35375	0.52625	0.28375	0.29875	0.37125	0.3775	0.29	0.38125	0.3125	0.48375	0.50375	0.4575	0.19125	0.31125	0.395	0.37875	0.51375	0.08625	0.3075	0.42625	0.095	0.465	0.06875	0.0525	0.44375	0.36875	0.0625	0.2175	0.4975	0.3825	0.325	0.12375	0.07125	0.12125	0.4575	0.09	0.1	0.06875	0.10125	0.095	0.3525	0.08125	0.2	0.065	0.3575	0.34125	0.21	0.48875	0.47375	0.26	0.35375	0.37875	0.1625	0.20875	0.0525	0.06875	0.2575	0.19125	0.3	0.305	0.36125	0.09	0.12125	0.375	0.0575	0.06	0.15	0.0675	0.065	0.1125	0.0625	0.06625	0.085	0.0725	0.05625	0.0	0.0625	0.27125	0.035	0.075	0.06	0.18875
SRR521229	0.5375	0.26	0.25625	0.28	0.3975	0.66875	0.29625	0.37	0.47125	0.265	0.37625	0.3525	0.52125	0.28	0.30125	0.37	0.375	0.28375	0.37875	0.3075	0.5	0.525	0.46625	0.22	0.30875	0.39125	0.375	0.52875	0.105	0.30875	0.4225	0.13875	0.4625	0.04875	0.05375	0.45875	0.37125	0.0775	0.2075	0.4925	0.38	0.32125	0.13125	0.09375	0.16625	0.48375	0.04625	0.1025	0.10125	0.1425	0.105	0.3875	0.09	0.22875	0.08625	0.3525	0.3425	0.205	0.49	0.47125	0.25875	0.3625	0.42	0.16375	0.20375	0.08375	0.0475	0.25	0.1925	0.30125	0.3	0.3575	0.09875	0.12	0.38	0.06625	0.0325	0.175	0.0925	0.06875	0.11625	0.03625	0.05125	0.04125	0.035	0.07875	0.0625	0.0	0.2925	0.05	0.03375	0.0625	0.2025
